address,unformattedPrice,beds,homeType,statusType,latitude,longitude,addressZipcode,neighborhood
1500 Market St #5C,600000,2,CONDO,FOR_SALE,39.7503,-104.9962,80202,LoDo
2900 Tennyson St,800000,3,SINGLE_FAMILY,FOR_SALE,39.7605,-105.0452,80212,LoHi
3100 Vallejo St,950000,4,MULTI_FAMILY,FOR_SALE,39.7610,-105.0100,80211,Highlands
1240 Cherokee St,520000,2,CONDO,FOR_SALE,39.7340,-104.9905,80204,Capitol Hill
300 S Knox Ct,360000,2,CONDO,FOR_SALE,39.6920,-105.0240,80219,Athmar
6621 Hooker St,540000,3,SINGLE_FAMILY,FOR_SALE,39.8090,-105.0240,80221,Chaffee Park
1825 W 32nd Ave,2500,2,CONDO,FOR_RENT,39.7620,-105.0090,80211,Highlands
3233 Curtis St,700000,3,SINGLE_FAMILY,RECENTLY_SOLD,39.7560,-104.9870,80205,Five Points
0 Vacant Lot Pkwy,300000,0,LOT,FOR_SALE,39.7400,-104.9800,80205,Five Points
999 Nowhere St,500000,2,CONDO,FOR_SALE,,,80203,Capitol Hill
